City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Winslow,US,2020-06-25 21:54:40,35.02,-110.7,96.8,6,1,19.46
282,Sao Miguel Do Araguaia,BR,2020-06-25 21:54:29,-13.28,-50.16,75.29,49,0,1.14
283,Kalabo,ZM,2020-06-25 21:54:41,-14.97,22.68,55.69,51,0,5.79
284,Verkhnyaya Inta,RU,2020-06-25 21:54:41,65.98,60.31,42.04,92,100,11.27
285,Calvia,ES,2020-06-25 21:49:59,39.57,2.51,79.0,44,0,8.05
286,Bati,ET,2020-06-25 21:54:41,11.18,40.02,73.83,21,28,5.73
287,Brainerd,US,2020-06-25 21:54:41,46.36,-94.2,86.0,33,1,9.17
288,Mumford,GH,2020-06-25 21:54:41,5.26,-0.76,77.56,85,100,11.95
289,Necochea,AR,2020-06-25 21:54:41,-38.55,-58.74,39.99,90,21,1.99
290,Napier,NZ,2020-06-25 21:54:41,-39.48,176.92,57.99,72,100,1.99
291,Carutapera,BR,2020-06-25 21:54:41,-1.2,-46.02,76.39,92,65,4.99
292,Iquique,CL,2020-06-25 21:54:42,-20.22,-70.14,62.6,67,90,6.93
293,Thabazimbi,ZA,2020-06-25 21:54:42,-24.59,27.41,51.33,52,0,2.77
294,Kununurra,AU,2020-06-25 21:54:42,-15.77,128.73,50.0,33,0,9.26
295,Gladstone,AU,2020-06-25 21:54:42,-23.85,151.25,50.0,71,0,8.05
296,San Quintin,MX,2020-06-25 21:54:42,30.48,-115.95,70.32,63,2,11.23
297,Okhotsk,RU,2020-06-25 21:54:42,59.38,143.3,46.96,86,100,2.84
298,Savannah Bight,HN,2020-06-25 21:54:42,16.45,-85.85,82.76,79,20,21.09
299,Minab,IR,2020-06-25 21:54:42,27.15,57.08,89.6,79,20,6.93
300,Ati,TD,2020-06-25 21:54:43,13.22,18.34,86.61,33,48,8.68
301,Dingle,PH,2020-06-25 21:54:43,11.0,122.67,77.63,88,100,2.33
302,Khandyga,RU,2020-06-25 21:54:43,62.67,135.6,72.36,49,0,1.54
